Year,Ave.
2011,224.939
2010,218.056
2009,214.537
2008,215.303
2007,207.342
2006,201.6
2005,195.3
2004,188.9
2003,183.96
2002,179.88
2001,177.1
2000,172.2
1999,166.6
1998,163
1997,160.5
1996,156.9
1995,152.4
1994,148.2
1993,144.5
1992,140.3
1991,136.2
1990,130.7
1989,124
1988,118.3
1987,113.6
1986,109.6
1985,107.6
1984,103.9
1983,99.6
1982,96.5
1981,90.9
1980,82.4
1979,72.6
1978,65.2
1977,60.6
1976,56.9
1975,53.8
1974,49.3
1973,44.4
1972,41.8
1971,40.5
1970,38.8
1969,36.7
1968,34.8
1967,33.4
1966,32.4
1965,31.5
1964,31
1963,30.6
1962,30.2
1961,29.9
1960,29.6
1959,29.1
1958,28.9
1957,28.1
1956,27.2
1955,26.8
1954,26.9
1953,26.7
1952,26.5
1951,26
1950,24.1
